,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta_time[Eaton, Nate]",3.621,0.441,2.717,4.398,0.006,0.007,5188.0,4674.0,1.0
"beta_time[Encarnacion, Jerar]",3.964,0.428,3.146,4.761,0.005,0.007,7787.0,4459.0,1.0
"beta_time[Espinal, Santiago]",3.994,0.467,3.112,4.881,0.005,0.008,7876.0,3915.0,1.0
"beta_time[Fairchild, Stuart]",3.949,0.428,3.134,4.741,0.005,0.006,6979.0,4256.0,1.0
"beta_time[Fermín, José]",3.908,0.46,3.04,4.759,0.005,0.007,9992.0,5026.0,1.0
"beta_time[Fernández, Yanquiel]",3.865,0.397,3.09,4.597,0.004,0.005,8634.0,5016.0,1.0
"beta_time[Fitzgerald, Tyler]",3.978,0.449,3.141,4.82,0.005,0.007,7471.0,3988.0,1.01
"beta_time[Fletcher, Dominic]",4.113,0.445,3.313,4.984,0.006,0.008,5685.0,4487.0,1.0
"beta_time[Fraley, Jake]",3.968,0.311,3.382,4.544,0.004,0.004,6619.0,4810.0,1.0
"beta_time[Frazier, Adam]",3.833,0.425,3.018,4.643,0.005,0.007,8541.0,4717.0,1.0
"beta_time[Freeman, Cody]",3.895,0.469,2.998,4.773,0.005,0.008,8693.0,4633.0,1.0
"beta_time[Freeman, Tyler]",3.538,0.341,2.897,4.168,0.006,0.004,3716.0,5683.0,1.0
"beta_time[Frelick, Sal]",3.751,0.296,3.192,4.306,0.003,0.004,7133.0,4908.0,1.0
"beta_time[Garcia, Jhostynxon]",3.905,0.466,2.984,4.751,0.005,0.008,8525.0,3372.0,1.0
"beta_time[Garcia, Maikel]",3.88,0.457,3.029,4.754,0.005,0.008,8392.0,3982.0,1.0
"beta_time[García, Adolis]",3.842,0.284,3.3,4.361,0.003,0.003,7272.0,5699.0,1.0
"beta_time[Gilbert, Drew]",3.65,0.406,2.843,4.38,0.005,0.006,6376.0,4941.0,1.0
"beta_time[Gonzalez, Oscar]",3.948,0.463,3.092,4.842,0.006,0.008,7049.0,3501.0,1.0
"beta_time[Greene, Riley]",3.923,0.446,3.082,4.775,0.005,0.008,8424.0,4404.0,1.0
"beta_time[Grichuk, Randal]",3.88,0.366,3.154,4.539,0.004,0.004,8700.0,5635.0,1.0
"beta_time[Haggerty, Sam]",3.925,0.463,3.038,4.788,0.005,0.008,8011.0,4835.0,1.0
"beta_time[Hampson, Garrett]",3.898,0.454,3.032,4.775,0.005,0.007,7865.0,4303.0,1.0
"beta_time[Harris, Dustin]",3.914,0.449,3.073,4.777,0.005,0.007,9677.0,4578.0,1.0
"beta_time[Hassell III, Robert]",3.818,0.422,2.997,4.586,0.005,0.007,8307.0,4665.0,1.0
"beta_time[Hernández, Heriberto]",3.96,0.405,3.193,4.75,0.005,0.006,7735.0,4751.0,1.0
"beta_time[Hernández, Teoscar]",4.079,0.311,3.469,4.642,0.005,0.004,4630.0,4823.0,1.0
"beta_time[Heyward, Jason]",4.075,0.448,3.25,4.937,0.006,0.007,5584.0,4327.0,1.0
"beta_time[Hilliard, Sam]",3.961,0.458,3.086,4.836,0.006,0.007,7067.0,4154.0,1.0
"beta_time[Hinds, Rece]",4.134,0.424,3.322,4.909,0.007,0.007,4161.0,3176.0,1.0
"beta_time[Jackson, Jeremiah]",3.724,0.37,3.005,4.392,0.004,0.005,8150.0,5521.0,1.0
"beta_time[Jankowski, Travis]",4.024,0.415,3.245,4.814,0.005,0.006,6419.0,3931.0,1.0
"beta_time[Joe, Connor]",4.041,0.443,3.246,4.915,0.006,0.007,6084.0,4461.0,1.0
"beta_time[Johnson, Bryce]",3.975,0.465,3.109,4.874,0.006,0.008,6642.0,3855.0,1.0
"beta_time[Johnson, Daniel]",3.707,0.44,2.848,4.506,0.005,0.007,7514.0,4971.0,1.0
"beta_time[Johnston, Troy]",4.001,0.437,3.182,4.841,0.006,0.006,6420.0,5008.0,1.0
"beta_time[Jones, Jahmai]",3.865,0.413,3.073,4.626,0.004,0.006,8769.0,4515.0,1.0
"beta_time[Jones, Nolan]",4.1,0.357,3.468,4.83,0.006,0.005,4345.0,5048.0,1.0
"beta_time[Judge, Aaron]",4.303,0.343,3.713,4.994,0.008,0.004,2048.0,5224.0,1.0
"beta_time[Kayfus, C.J.]",3.361,0.409,2.572,4.085,0.009,0.005,2265.0,4348.0,1.0
"beta_time[Keirsey Jr., DaShawn]",4.026,0.435,3.25,4.909,0.006,0.007,5825.0,4829.0,1.0
"beta_time[Kelenic, Jarred]",4.164,0.428,3.376,4.981,0.007,0.006,3498.0,3584.0,1.0
"beta_time[Kepler, Max]",4.163,0.415,3.414,4.981,0.007,0.006,3416.0,4594.0,1.0
"beta_time[Kjerstad, Heston]",3.688,0.41,2.895,4.439,0.005,0.006,7109.0,5451.0,1.0
"beta_time[Larnach, Trevor]",4.04,0.381,3.32,4.769,0.005,0.005,6520.0,5308.0,1.0
"beta_time[Laureano, Ramón]",3.888,0.326,3.277,4.506,0.004,0.004,8776.0,5553.0,1.0
"beta_time[Lile, Daylen]",4.079,0.369,3.374,4.762,0.005,0.005,6406.0,3956.0,1.0
"beta_time[Lockridge, Brandon]",4.116,0.422,3.323,4.928,0.007,0.006,4128.0,4223.0,1.0
"beta_time[Loperfido, Joey]",3.767,0.43,2.943,4.563,0.004,0.006,9561.0,5290.0,1.0
"beta_time[Lowe, Josh]",4.142,0.342,3.524,4.803,0.006,0.004,2942.0,4920.0,1.0
"beta_time[Lugo, Matthew]",3.514,0.467,2.622,4.36,0.007,0.008,4294.0,3481.0,1.0
"beta_time[Lukes, Nathan]",3.932,0.353,3.278,4.601,0.004,0.004,7871.0,5123.0,1.0
"beta_time[Malloy, Justyn-Henry]",4.126,0.429,3.33,4.929,0.007,0.007,3578.0,3033.0,1.0
"beta_time[Mangum, Jake]",3.847,0.382,3.078,4.523,0.004,0.006,8163.0,4771.0,1.0
"beta_time[Margot, Manuel]",3.838,0.437,2.994,4.635,0.005,0.007,9439.0,4744.0,1.0
"beta_time[Marsee, Jakob]",3.824,0.445,2.961,4.665,0.005,0.007,6870.0,4728.0,1.0
"beta_time[Marsh, Brandon]",3.841,0.452,3.02,4.725,0.004,0.006,10393.0,4818.0,1.0
"beta_time[Marte, Noelvi]",3.857,0.369,3.173,4.558,0.004,0.005,7897.0,5745.0,1.0
"beta_time[Marte, Starling]",3.904,0.471,3.014,4.786,0.005,0.008,8657.0,4958.0,1.0
"beta_time[Martini, Nick]",4.296,0.455,3.427,5.117,0.01,0.006,2038.0,3590.0,1.0
"beta_time[Martínez, Angel]",4.004,0.451,3.149,4.857,0.006,0.007,5977.0,3500.0,1.0
"beta_time[Mastrobuoni, Miles]",3.952,0.432,3.137,4.776,0.005,0.007,9109.0,3937.0,1.0
"beta_time[Matos, Luis]",3.821,0.381,3.122,4.561,0.004,0.005,11174.0,5261.0,1.0
"beta_time[McCarthy, Jake]",3.924,0.426,3.118,4.736,0.005,0.006,8310.0,4711.0,1.0
"beta_time[McCormick, Chas]",3.944,0.443,3.061,4.748,0.005,0.007,7209.0,4676.0,1.0
"beta_time[McCray, Grant]",3.695,0.451,2.84,4.559,0.006,0.006,6752.0,4811.0,1.0
"beta_time[McCusker, Carson]",3.977,0.435,3.117,4.742,0.005,0.007,7410.0,4771.0,1.0
"beta_time[McCutchen, Andrew]",3.812,0.444,2.979,4.644,0.005,0.007,8812.0,4666.0,1.0
"beta_time[McKinney, Billy]",3.917,0.444,3.077,4.764,0.005,0.008,8290.0,4049.0,1.0
"beta_time[McKinstry, Zach]",4.018,0.413,3.238,4.819,0.005,0.006,6083.0,4420.0,1.0
"beta_time[McNeil, Jeff]",3.767,0.462,2.874,4.615,0.006,0.008,7047.0,4834.0,1.0
"beta_time[Melendez, MJ]",3.94,0.451,3.125,4.842,0.005,0.007,8187.0,4067.0,1.0
"beta_time[Melton, Jacob]",3.866,0.464,3.007,4.759,0.005,0.008,8749.0,4299.0,1.0
"beta_time[Mesa Jr., Victor]",3.935,0.456,3.06,4.796,0.005,0.008,8371.0,4455.0,1.0
"beta_time[Misner, Kameron]",3.999,0.412,3.218,4.765,0.005,0.006,6764.0,4499.0,1.0
"beta_time[Moniak, Mickey]",4.372,0.392,3.647,5.113,0.009,0.005,1880.0,4141.0,1.0
"beta_time[Moore, Dylan]",3.978,0.368,3.311,4.697,0.004,0.005,7074.0,4809.0,1.0
"beta_time[Morel, Christopher]",3.837,0.452,2.991,4.732,0.005,0.008,8414.0,4702.0,1.0
"beta_time[Myers, Dane]",4.077,0.426,3.311,4.906,0.006,0.007,6170.0,3634.0,1.0
"beta_time[Noda, Ryan]",3.932,0.428,3.148,4.757,0.005,0.007,7850.0,4968.0,1.0
"beta_time[Noel, Jhonkensy]",3.664,0.364,2.987,4.366,0.004,0.004,6631.0,5697.0,1.0
"beta_time[Nootbaar, Lars]",3.848,0.391,3.063,4.56,0.004,0.006,7838.0,5094.0,1.0
"beta_time[O'Hearn, Ryan]",4.277,0.417,3.508,5.047,0.009,0.005,2481.0,4128.0,1.0
"beta_time[O'Neill, Tyler]",3.591,0.366,2.889,4.265,0.005,0.005,4810.0,5243.0,1.0
"beta_time[Osuna, Alejandro]",3.956,0.438,3.084,4.756,0.005,0.008,7776.0,3537.0,1.0
"beta_time[Outman, James]",3.83,0.412,3.055,4.617,0.004,0.006,8395.0,5400.0,1.0
"beta_time[Pages, Andy]",3.854,0.374,3.162,4.593,0.004,0.005,7726.0,5664.0,1.0
"beta_time[Palacios, Joshua]",3.607,0.385,2.914,4.36,0.005,0.005,6054.0,4195.0,1.0
"beta_time[Palacios, Richie]",4.026,0.456,3.185,4.926,0.006,0.007,6081.0,3888.0,1.0
"beta_time[Pederson, Joc]",3.935,0.457,3.06,4.785,0.006,0.008,6701.0,3702.0,1.01
"beta_time[Pereira, Everson]",3.904,0.465,3.01,4.76,0.005,0.008,8433.0,4548.0,1.0
"beta_time[Pham, Tommy]",4.057,0.451,3.227,4.935,0.006,0.008,5692.0,4111.0,1.0
"beta_time[Pillar, Kevin]",3.924,0.469,2.977,4.77,0.005,0.009,9629.0,4710.0,1.0
"beta_time[Pérez, Wenceel]",4.225,0.364,3.551,4.909,0.007,0.005,2800.0,3983.0,1.0
"beta_time[Raley, Luke]",3.942,0.408,3.127,4.673,0.005,0.006,6793.0,4767.0,1.0
"beta_time[Rave, John]",3.839,0.41,3.032,4.591,0.004,0.007,8806.0,4366.0,1.0
"beta_time[Refsnyder, Rob]",3.986,0.407,3.248,4.762,0.005,0.005,6875.0,4494.0,1.0
"beta_time[Renfroe, Hunter]",3.659,0.382,2.926,4.387,0.005,0.005,6986.0,5460.0,1.0
"beta_time[Rengifo, Luis]",3.945,0.454,3.12,4.848,0.005,0.008,9356.0,3812.0,1.0
"beta_time[Reyes, Pablo]",3.871,0.438,3.034,4.703,0.005,0.007,7370.0,3968.0,1.0
"beta_time[Reynolds, Bryan]",4.022,0.315,3.477,4.669,0.004,0.004,5313.0,4963.0,1.0
"beta_time[Rivas, Leo]",3.969,0.454,3.072,4.811,0.006,0.008,6099.0,3955.0,1.0
"beta_time[Robertson, Will]",4.119,0.427,3.313,4.933,0.007,0.006,3800.0,4371.0,1.0
"beta_time[Robles, Victor]",4.085,0.402,3.359,4.87,0.006,0.006,5548.0,4428.0,1.0
"beta_time[Roden, Alan]",4.085,0.426,3.297,4.895,0.006,0.007,4942.0,3896.0,1.0
"beta_time[Rodríguez, Johnathan]",4.083,0.408,3.316,4.843,0.006,0.006,5650.0,4013.0,1.0
"beta_time[Rooker, Brent]",3.799,0.406,2.997,4.52,0.004,0.006,9508.0,4975.0,1.0
"beta_time[Rosario, Amed]",3.823,0.47,2.934,4.706,0.005,0.007,8990.0,5235.0,1.0
"beta_time[Rosario, Eddie]",3.855,0.458,2.975,4.709,0.005,0.008,8542.0,5205.0,1.0
"beta_time[Ruiz, Esteury]",4.071,0.451,3.268,4.994,0.006,0.007,5418.0,4115.0,1.0
"beta_time[Santander, Anthony]",3.972,0.421,3.169,4.779,0.005,0.006,8140.0,5377.0,1.0
"beta_time[Schneemann, Daniel]",3.651,0.435,2.828,4.46,0.006,0.007,5803.0,4937.0,1.0
"beta_time[Scott II, Victor]",3.854,0.452,3.055,4.759,0.005,0.008,8427.0,4560.0,1.0
"beta_time[Simon, Ronny]",4.003,0.46,3.173,4.926,0.005,0.007,8213.0,4602.0,1.0
"beta_time[Simpson, Chandler]",3.901,0.459,3.054,4.765,0.005,0.008,8332.0,4383.0,1.0
"beta_time[Slater, Austin]",3.395,0.365,2.691,4.052,0.008,0.004,2348.0,4307.0,1.0
"beta_time[Smith, Cam]",3.738,0.291,3.185,4.291,0.003,0.003,7861.0,5321.0,1.0
"beta_time[Smith, Josh]",3.872,0.452,2.994,4.688,0.005,0.008,8097.0,4103.0,1.0
"beta_time[Sogard, Nick]",3.963,0.459,3.121,4.855,0.005,0.009,7985.0,3404.0,1.0
"beta_time[Soler, Jorge]",4.184,0.403,3.405,4.925,0.008,0.005,2851.0,4131.0,1.0
"beta_time[Soto, Juan]",3.983,0.298,3.437,4.548,0.003,0.003,7481.0,5389.0,1.0
"beta_time[Springer, George]",3.791,0.372,3.105,4.496,0.004,0.005,9164.0,5383.0,1.0
"beta_time[Stanton, Giancarlo]",4.115,0.426,3.324,4.924,0.007,0.007,3622.0,4323.0,1.0
"beta_time[Stowers, Kyle]",3.946,0.388,3.189,4.676,0.005,0.006,6544.0,5480.0,1.0
"beta_time[Straw, Myles]",3.983,0.449,3.143,4.829,0.005,0.007,7846.0,4343.0,1.0
"beta_time[Suwinski, Jack]",4.002,0.437,3.179,4.83,0.005,0.007,6460.0,4055.0,1.0
"beta_time[Suzuki, Seiya]",3.956,0.375,3.272,4.673,0.004,0.005,7506.0,5641.0,1.0
"beta_time[Sánchez, Jesús]",3.824,0.276,3.291,4.331,0.003,0.004,9073.0,4752.0,1.0
"beta_time[Tatis Jr., Fernando]",3.919,0.288,3.361,4.445,0.004,0.004,6264.0,4903.0,1.0
"beta_time[Tauchman, Mike]",4.227,0.361,3.593,4.951,0.008,0.004,2319.0,4856.0,1.0
"beta_time[Taveras, Leody]",4.11,0.406,3.366,4.885,0.006,0.005,4740.0,4018.0,1.0
"beta_time[Tawa, Tim]",3.894,0.462,3.048,4.79,0.005,0.008,8285.0,4720.0,1.0
"beta_time[Taylor, Chris]",3.802,0.443,2.952,4.623,0.004,0.008,10234.0,4830.0,1.0
"beta_time[Taylor, Michael A.]",4.019,0.394,3.275,4.748,0.005,0.005,5809.0,5155.0,1.0
"beta_time[Taylor, Samad]",3.913,0.448,3.11,4.785,0.005,0.008,8597.0,4643.0,1.0
"beta_time[Taylor, Tyrone]",3.926,0.463,3.012,4.786,0.005,0.008,7370.0,4761.0,1.0
"beta_time[Thomas, Colby]",3.905,0.414,3.109,4.677,0.005,0.007,8301.0,4210.0,1.0
"beta_time[Thomas, Lane]",3.907,0.465,3.049,4.817,0.005,0.008,7739.0,4606.0,1.01
"beta_time[Thomas, Rhylan]",3.903,0.461,3.008,4.752,0.005,0.008,9897.0,3920.0,1.0
"beta_time[Tolbert, Tyler]",3.848,0.459,2.975,4.721,0.005,0.007,8067.0,4536.0,1.0
"beta_time[Trammell, Taylor]",3.913,0.483,3.022,4.81,0.005,0.008,8983.0,4873.0,1.0
"beta_time[Trout, Mike]",3.409,0.413,2.619,4.164,0.009,0.005,2317.0,3986.0,1.0
"beta_time[Tucker, Kyle]",4.181,0.33,3.563,4.798,0.007,0.004,2450.0,4108.0,1.0
"beta_time[Valera, George]",3.865,0.452,2.992,4.698,0.005,0.007,9046.0,4418.0,1.0
"beta_time[Veen, Zac]",3.999,0.447,3.151,4.832,0.005,0.008,9208.0,3956.0,1.0
"beta_time[Vierling, Matt]",3.973,0.447,3.126,4.807,0.005,0.008,7458.0,4904.0,1.0
"beta_time[Vilade, Ryan]",3.997,0.448,3.151,4.846,0.006,0.007,6391.0,4534.0,1.0
"beta_time[Wade, Tyler]",3.979,0.457,3.125,4.857,0.005,0.009,7974.0,3904.0,1.0
"beta_time[Wade Jr., LaMonte]",4.05,0.415,3.278,4.84,0.006,0.007,5374.0,3922.0,1.0
"beta_time[Wagaman, Eric]",3.912,0.455,3.024,4.747,0.005,0.007,9482.0,4358.0,1.0
"beta_time[Walker, Jordan]",4.349,0.34,3.725,4.993,0.007,0.004,2176.0,4642.0,1.0
"beta_time[Wallner, Matt]",4.497,0.398,3.787,5.255,0.011,0.005,1199.0,3688.0,1.0
"beta_time[Waters, Drew]",4.055,0.404,3.337,4.854,0.006,0.007,5239.0,3913.0,1.0
"beta_time[White, Eli]",4.041,0.365,3.4,4.762,0.005,0.004,6500.0,5447.0,1.0
"beta_time[Wiemer, Joey]",3.913,0.409,3.149,4.672,0.005,0.006,8052.0,4462.0,1.0
"beta_time[Yastrzemski, Mike]",4.159,0.279,3.628,4.673,0.004,0.003,4317.0,5016.0,1.0
"beta_time[Yorke, Nick]",3.943,0.466,3.038,4.815,0.005,0.009,7640.0,4415.0,1.0
"beta_time[Yoshida, Masataka]",3.904,0.47,3.004,4.813,0.005,0.008,9158.0,4304.0,1.0
sigma_alpha,0.208,0.05,0.111,0.303,0.004,0.002,187.0,199.0,1.02
sigma_beta_dist,0.491,0.066,0.366,0.61,0.002,0.001,835.0,1389.0,1.0
sigma_beta_time,0.444,0.096,0.257,0.623,0.006,0.003,276.0,316.0,1.02
