"name_fielder","fielder_id","fld_name_display_club","season","position","pa","avg_norm_start_distance","avg_norm_start_angle"
"Berroa, Steward",672642,"Brewers",2025,"CF","53","329","0"
"Frelick, Sal",686217,"Brewers",2025,"CF","298","328","0"
"Chourio, Jackson",694192,"Brewers",2025,"CF","3140","330","0"
"Buxton, Byron",621439,"Twins",2025,"CF","4182","325","1"
"Bader, Harrison",664056,"Twins",2025,"CF","769","327","1"
"Martin, Austin",668885,"Twins",2025,"CF","305","332","1"
"Keirsey Jr., DaShawn",680577,"Twins",2025,"CF","384","326","0"
"Outman, James",681546,"Twins",2025,"CF","398","322","0"
"Roden, Alan",702176,"Twins",2025,"CF","39","333","0"
"Nimmo, Brandon",607043,"Mets",2025,"CF","68","326","0"
"Taylor, Tyrone",621438,"Mets",2025,"CF","3306","323","1"
"Azocar, José",640492,"Mets",2025,"CF","75","316","-1"
"Siri, Jose",642350,"Mets",2025,"CF","405","314","0"
"McNeil, Jeff",643446,"Mets",2025,"CF","919","328","0"
"Mullins, Cedric",656775,"Mets",2025,"CF","1318","320","0"
"Acuña, Luisangel",682668,"Mets",2025,"CF","13","318","1"
"Bellinger, Cody",641355,"Yankees",2025,"CF","1297","318","0"
"Grisham, Trent",663757,"Yankees",2025,"CF","4766","319","0"
"Kepler, Max",596146,"Phillies",2025,"CF","27","328","1"
"Bader, Harrison",664056,"Phillies",2025,"CF","1607","322","1"
"Marsh, Brandon",669016,"Phillies",2025,"CF","2523","322","1"
"Stevenson, Cal",670276,"Phillies",2025,"CF","65","316","1"
"Rojas, Johan",679032,"Phillies",2025,"CF","1791","315","1"
"Cruz, Oneil",665833,"Pirates",2025,"CF","4413","311","0"
"Suwinski, Jack",669261,"Pirates",2025,"CF","606","315","1"
"Canario, Alexander",672744,"Pirates",2025,"CF","780","320","0"
"Bae, Ji Hwan",678225,"Pirates",2025,"CF","79","322","1"
"Gorski, Matt",685301,"Pirates",2025,"CF","49","324","1"
"Cook, Billy",695257,"Pirates",2025,"CF","34","315","0"
"Heyward, Jason",518792,"Padres",2025,"CF","45","320","1"
"Wade, Tyler",642180,"Padres",2025,"CF","624","324","0"
"Joe, Connor",656582,"Padres",2025,"CF","24","322","-2"
"Laureano, Ramón",657656,"Padres",2025,"CF","383","330","0"
"Lockridge, Brandon",663604,"Padres",2025,"CF","388","324","0"
"Johnson, Bryce",669369,"Padres",2025,"CF","322","323","0"
"Ornelas, Tirso",672359,"Padres",2025,"CF","10","329","1"
"Merrill, Jackson",701538,"Padres",2025,"CF","4163","322","0"
"Robles, Victor",645302,"Mariners",2025,"CF","36","318","-1"
"Taveras, Leody",665750,"Mariners",2025,"CF","74","320","0"
"Taylor, Samad",669392,"Mariners",2025,"CF","11","322","0"
"Raley, Luke",670042,"Mariners",2025,"CF","130","318","0"
"Rodríguez, Julio",677594,"Mariners",2025,"CF","5791","321","0"
"Johnson, Daniel",669288,"Giants",2025,"CF","143","324","0"
"Matos, Luis",682641,"Giants",2025,"CF","292","323","1"
"Gilbert, Drew",687551,"Giants",2025,"CF","231","325","0"
"Lee, Jung Hoo",808982,"Giants",2025,"CF","5400","324","0"
"Hampson, Garrett",641658,"Cardinals",2025,"CF","152","324","1"
"Nootbaar, Lars",663457,"Cardinals",2025,"CF","394","314","1"
"Siani, Michael",672279,"Cardinals",2025,"CF","261","317","1"
"Barrero, José",676480,"Cardinals",2025,"CF","143","326","1"
"Scott II, Victor",687363,"Cardinals",2025,"CF","4568","325","0"
"Church, Nathan",701675,"Cardinals",2025,"CF","584","324","1"
"Mangum, Jake",663968,"Rays",2025,"CF","1138","324","0"
"Misner, Kameron",670224,"Rays",2025,"CF","1508","327","1"
"Peters, Tristan",671976,"Rays",2025,"CF","122","326","1"
"DeLuca, Jonny",676356,"Rays",2025,"CF","580","326","1"
"Caballero, José",676609,"Rays",2025,"CF","64","333","0"
"Pereira, Everson",677592,"Rays",2025,"CF","623","323","1"
"Simpson, Chandler",802415,"Rays",2025,"CF","1898","325","1"
"Pillar, Kevin",607680,"Rangers",2025,"CF","230","321","0"
"Haggerty, Sam",664059,"Rangers",2025,"CF","376","320","0"
"Taveras, Leody",665750,"Rangers",2025,"CF","883","323","0"
"Smith, Josh",669701,"Rangers",2025,"CF","52","318","0"
"Helman, Michael",680737,"Rangers",2025,"CF","1045","320","0"
"Harris, Dustin",687957,"Rangers",2025,"CF","91","315","0"
"Carter, Evan",694497,"Rangers",2025,"CF","1888","321","0"
"Langford, Wyatt",694671,"Rangers",2025,"CF","1318","312","0"
"Osuna, Alejandro",696030,"Rangers",2025,"CF","33","330","-1"
"Springer, George",543807,"Blue Jays",2025,"CF","296","328","-1"
"Varsho, Daulton",662139,"Blue Jays",2025,"CF","2311","322","-1"
"Straw, Myles",664702,"Blue Jays",2025,"CF","2247","321","-1"
"Lukes, Nathan",664770,"Blue Jays",2025,"CF","890","323","-1"
"Clase, Jonatan",682729,"Blue Jays",2025,"CF","288","327","0"
"Roden, Alan",702176,"Blue Jays",2025,"CF","22","324","-2"
"Call, Alex",669743,"Nationals",2025,"CF","112","325","0"
"Nuñez, Nasim",683083,"Nationals",2025,"CF","23","329","0"
"Crews, Dylan",686611,"Nationals",2025,"CF","486","324","-1"
"Hassell III, Robert",690987,"Nationals",2025,"CF","1653","326","0"
"Young, Jacob",696285,"Nationals",2025,"CF","4006","323","-1"
